CONTINUATION FROM SESSION: logs\2026-09-12_01-18
----------------------------------------------------------------------------------------------------
start time: 12-09-2026 01:20:30 | end time: 12-09-2026 03:29:25 | duration: 02:08:55
runs: 2000; brain updates: 126
Skill Name           | True Positive   | True Negative   | false Positive  | false Negative  | Total          
----------------------------------------------------------------------------------------------------
Start                | 431             | 65              | 307             | 40              | 843       
Find_the_Door        | 536             | 0               | 448             | 0               | 984       
Aproach_the_Door     | 65              | 304             | 203             | 46              | 618       
Open_the_Door        | 71              | 457             | 38              | 5               | 571       
Find_the_Goal        | 73              | 497             | 72              | 18              | 660       
Aproach_the_Goal     | 7               | 276             | 38              | 14              | 335       
Finish               | 10              | 3990            | 36              | 0               | 4036      
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------
Test                 | Plan Length     | Steps Executed  | Last Action     | Duration [s]    | Result         
1                    | 4               | 2               | Find_the_Door   | 1.927           | 0         
2                    | 0               | 0               | -               | 1.074           | 0         
3                    | 4               | 1               | Start           | 1.290           | 0         
4                    | 4               | 0               | Start           | 1.289           | 0         
5                    | 4               | 0               | Start           | 1.294           | 0         
6                    | 4               | 2               | Find_the_Door   | 3.505           | 0         
7                    | 4               | 0               | Find_the_Door   | 1.301           | 0         
8                    | 4               | 0               | Find_the_Door   | 1.341           | 0         
9                    | 0               | 0               | -               | 1.110           | 0         
10                   | 0               | 0               | -               | 1.061           | 0         
11                   | 0               | 0               | -               | 1.064           | 0         
12                   | 0               | 0               | -               | 1.063           | 0         
13                   | 4               | 2               | Find_the_Door   | 1.524           | 0         
14                   | 4               | 0               | Find_the_Door   | 1.261           | 0         
15                   | 4               | 2               | Find_the_Door   | 1.508           | 0         
16                   | 4               | 0               | Find_the_Door   | 1.367           | 0         
17                   | 4               | 1               | Start           | 1.369           | 0         
18                   | 0               | 0               | -               | 1.086           | 0         
19                   | 0               | 0               | -               | 1.065           | 0         
20                   | 0               | 0               | -               | 1.066           | 0         
21                   | 0               | 0               | -               | 1.056           | 0         
22                   | 0               | 0               | -               | 1.054           | 0         
